target_field,entity_scope,business_definition,positive_cues,negative_cues,common_confusions,field_type,format,pattern,enum_values,system_required,active
practitionerPrimarySpecialtyBoardCertified,practitioner,Whether practitioner is board certified in primary specialty,practitioner;primary;specialty;board;certified,,practitionerSpecialtyBoardCertified,string,,,,False,true
practitionerPrimarySpecialtyName,practitioner,Primary specialty name of the practitioner,practitioner;primary;specialty;name,,practitionerSpecialtyName,string,,,,False,true
practitionerPrimaryTaxonomy,practitioner,Primary taxonomy of the practitioner,practitioner;primary;taxonomy,,practitionerTaxonomy,string,,,,False,true
practitionerReimbursementCode,practitioner,Reimbursement code of the practitioner,practitioner;reimbursement;code,,,string,,,,False,true
practitionerRole,practitioner,Role of the practitioner,practitioner;role,,,string,,,,False,true
practitionerRoleAutoAssignment,practitioner,Auto assignment of practitioner role,practitioner;role;auto;assignment,,,string,,,,False,true
practitionerSecondaryHospitalAffiliation,practitioner,Secondary Hospital Affiliation,secondary;hospital;affiliation,,,string,,,,False,true
practitionerSecondaryHospitalAffiliationAppointmentDate,practitioner,Secondary Hospital Affiliation Appointment Date,secondary;hospital;affiliation;appointment;date;(yyyy-mm-dd),,,string,date,,,False,true
practitionerSecondaryHospitalAffiliationAppointmentType,practitioner,Secondary Hospital Affiliation Appointment Type,secondary;hospital;affiliation;appointment;type,,,string,,,,False,true
practitionerSecondaryLanguage,practitioner,Secondary Language spoken by provider,secondary;provider;language,,,string,,,,False,true
practitionerSpecializedTraining,practitioner,Practitioner Specialized Training,practitioner;specialized;training,,,string,,,,False,true
practitionerSpecialtyBoardCertificationExpirationDate,practitioner,Board certification expiration date for specialty,practitioner;specialty;board;certification;expiration;date;(yyyy-mm-dd),,,string,date,,,False,true
practitionerSpecialtyBoardCertificationIssueDate,practitioner,Board certification issue date for specialty,practitioner;specialty;board;certification;issue;date;(yyyy-mm-dd),,,string,date,,,False,true
practitionerSpecialtyBoardCertificationLifetime,practitioner,Board certification duration type for specialty,practitioner;specialty;board;certification;lifetime,,,string,,,,False,true
practitionerSpecialtyBoardCertificationName,practitioner,Board certification name for specialty,practitioner;specialty;board;certification;name,,,string,,,,False,true
practitionerSpecialtyBoardCertificationNumber,practitioner,Board certification number for specialty,practitioner;specialty;board;certification;number,,,string,,,,False,true
practitionerSpecialtyBoardCertified,practitioner,Whether practitioner is board certified in specialty,practitioner;specialty;board;certified,,,boolean,,,,False,true
practitionerSpecialtyName,practitioner,Specialty name of the practitioner,practitioner;specialty;name,,,string,,,,False,true
practitionerTaxonomy,practitioner,Taxonomy of the practitioner,practitioner;taxonomy,,,string,,,,False,true
practitionerTypesToCredential,practitioner,Types of practitioners to credential,practitioner;types;credential,,,string,,,AA|ABA|ACNP|ACU|ADC|APN|APN-CNP|APRN|AT|ATR|AUD|BCaBA|BCBA|BSW|BT|CBHT|CDS|CNS|CP|CphT|CRNA|CSP|CSW|DC|DDS|DMD|DO|DPM|DT|EMT|GC|HOS|IBCLC|LBHC|LLMSW|LMFT|LMSW|LN|LP|LPC|LPCC|LPN|LPT|LVN|MA|MD|MFT|MT|M,False,true
primaryEmail,practitioner,Primary email address for the practitioner,primary;email,,,string,email,,,False,true
primarySpecialtyIssueYear,practitioner,Issue year for primary specialty at TenantPractitionerSpecialty,primary;specialty;issue;year,,,string,,,,False,true
providerCMSTypeCode,practitioner,Provider's CMS type code,cms;type;code,,,string,,,,False,true
providerCMSTypeName,practitioner,Provider's CMS type description,cms;type;description,,,string,,,,False,true
providerContractingStatus,practitioner,Current contracting status of the provider,provider;contracting;status,,,string,,,Active|Terminated,False,true
providerEffectiveDate,practitioner,Date when provider becomes effective,provider;effective;date,,,string,date,,,False,true
providerLicenseState,practitioner,State of provider's license,license;state,,,string,,,AK|AL|AR|AS|AZ|CA|CO|CT|DC|DE|FL|FM|GA|GU|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MH|MI|MN|MO|MP|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|PR|PW|RI|SC|SD|TN|TX|UT|UM|VA|VI|VT|WA|WI|WV|WY,False,true
providerMedicaidState,practitioner,Provider's Medicaid identifier,medicaid;state,,,string,,,,False,true
providerTaxonomyCode,practitioner,Provider's taxonomy code,taxonomy;code,,,string,,,,False,true
providerTerminationDate,practitioner,Date when provider was/will be terminated,provider;termination;date,,,string,date,,,False,true
providerType,practitioner,Type of healthcare provider,provider;type,,,string,,,AA|ABA|ACNP|ACU|ADC|APN|APN-CNP|APRN|AT|ATR|AUD|BCaBA|BCBA|BSW|BT|CBHT|CDS|CNS|CP|CphT|CRNA|CSP|CSW|DC|DDS|DMD|DO|DPM|DT|EMT|GC|HOS|IBCLC|LBHC|LLMSW|LMFT|LMSW|LN|LP|LPC|LPCC|LPN|LPT|LVN|MA|MD|MFT|MT|M,False,true
race,practitioner,Provider's race,race,,,string,,,Alaska Native|American Indian|Asian|Black/African American|Native Hawaiian|Pacific Islander|White,False,true
residencyFromDate,practitioner,Start date of residency,residency;from;date;(yyyy-mm-dd),,residencyToDate,string,date,,,False,true
residencySchoolName,practitioner,Name of the residency institution,residency;school;name,,,string,,,,False,true
residencySpecialty,practitioner,Specialty of residency,residency;specialty,,,string,,,,False,true
residencyToDate,practitioner,End date of residency,residency;date;(yyyy-mm-dd),,residencyFromDate,string,date,,,False,true
roleEffectiveDate,practitioner,Effective date for the practitioner role,role;effective;date;(yyyy-mm-dd),,,string,date,,,False,true
roleTerminationDate,practitioner,Termination date for the practitioner role,role;termination;date;(yyyy-mm-dd),,,string,date,,,False,true
roleType,practitioner,Type of role for practitioner,role;type,,,string,,,,False,true
secondaryEmail,practitioner,Secondary email address for the practitioner,secondary;email,,,string,email,,,False,true
specialist,practitioner,Indicates if provider is a specialist,specialist,,,boolean,,,,False,true
specialtyIssueYear,practitioner,Issue year for specialty at TenantPractitionerSpecialty,specialty;issue;year,,,string,,,,False,true
ssn,practitioner,Practitioner's Social Security Number,ssn;(no;dashes),,,string,,^\d{9}$,,False,true
stateLicenseExpirationDate,practitioner,State License Expiration Date,state;license;expiration;date;(yyyy-mm-dd),,,string,date,,,False,true
stateLicenseIssuingState,practitioner,State License Issuing State (State Abbreviation code),state;license;issuing;state,,,string,,,AK|AL|AR|AS|AZ|CA|CO|CT|DC|DE|FL|FM|GA|GU|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MH|MI|MN|MO|MP|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|PR|PW|RI|SC|SD|TN|TX|UT|UM|VA|VI|VT|WA|WI|WV|WY,False,true
stateLicenseNumber,practitioner,State License Number,state;license;number,,,string,,,,False,true
stateLicenseType,practitioner,State License Type,state;license;type,,,string,,,,False,true
statesToCredential,practitioner,States to credential the practitioner for,states;credential,,,string,,,AK|AL|AR|AS|AZ|CA|CO|CT|DC|DE|FL|FM|GA|GU|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MH|MI|MN|MO|MP|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|PR|PW|RI|SC|SD|TN|TX|UT|UM|VA|VI|VT|WA|WI|WV|WY,False,true
statusInNetwork,practitioner,Status of the practitioner in the network,practitioner;status;network,,,string,,,Active|Inactive,False,true
suffix,practitioner,"Name suffix (e.g., Jr., Sr., III)",suffix,,,string,,,,False,true
supervisingPractitionerFirstName,practitioner,First name of supervising practitioner,supervising;practitioner;first;name,,,string,,,,False,true
supervisingPractitionerLastName,practitioner,Last name of supervising practitioner,supervising;practitioner;last;name,,,string,,,,False,true
supervisingPractitionerMiddleName,practitioner,Middle name of supervising practitioner,supervising;practitioner;middle;name,,,string,,,,False,true
supervisingPractitionerNpi,practitioner,NPI of supervising practitioner,supervising;practitioner;npi,,,string,,,,False,true
